Name,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon,DES_CLAV,RANGO_MA,MUESTRA,ESTADO,LONG_,LAT,TIPO_ROCA,ROCA,METODO,MINERAL,EDAD_MA,ERROR,TIPO_EDAD,HEREDADOS,REFERENCIA,UNIDAD,LOC_TIPO,OBSERVA,PDF,CARTA50,CARTA250,TABLACRONO
,,,,,,"-1","0","-1",,,Pérmico-Cisuraliano,272.3 - 298.9,MH-73,Oaxaca,-97.699722,18.162778,Metamórfica,Esquisto micáceo (metapsamita),U-Pb,Circón,"291",15,Edad de cristalización,,"Helbig et al., 2012",Litodema Chazumba,,,,PETLALCINGO E14-B84,ORIZABA E14-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,SD-107,Sinaloa,-106.26930556,23.95495278,Plutónica,Granodiorita,U-Pb,Zircón,"64.16",0.9,Edad de cristalización,,"Montoya-Lopera et al., 2020",Batolito Sinaloa,,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SAN JUAN F13-A16,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Neógeno-Mioceno,5.333 - 23.03,H250,Oaxaca,-96.03334,15.933335,Plutónica,Tonalita,Rb-Sr,Biotita-Roca total,"20.4",0.4,Edad de enfriamiento,,"Solís-Pichardo (en Morán-Zenteno et al., 2000)",,,,,SANTA MARIA HUATULCO OAXACA D14-B19,PUERTO ESCONDIDO D14-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,B35,Jalisco,-103.61707,19.800626,Volcánica,Andesita Hb,K-Ar,Roca total,"1.17",0.07,,,"Allan, 1986",Faja Volcánica Trans-Mexicana,,"Flujo de lava, volcán Cantaro",,SAYULA E13-B15,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Holoceno,act.-0.0117,i,Jalisco,-103.597674,19.52979,,Suelo,C,Carbón,"8360",150,,,"Luhr y Carmichael, 1982",Complejo Volcánico de Colima,Volcán de Colima,"Coordenadas estimadas.  Carbón de la ceniza retrabajada, equivalente a carbón h /Edad en años",,CD. GUZMAN. E13-B25,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cuaternario-Pleistoceno,0.0117 - 2.58,Co-113,Jalisco,-103.442066,19.528418,Piroclástica,Piroclásto,K-Ar,Roca total,"0.08",0.03,,,"Robin et al., 1984",W de la Faja Volcánica Trans-Mexicana,Nevado de Colima y Volcán de Colima,,,CD. GUZMAN. E13-B25,COLIMA E13-3,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,CON5,Sinaloa,-108.204135,26.902233,Plutónica,Granodiorita,U-Pb,Circón,"59.6",0.84,Edad de cristalización,,"Mahar et al., 2016",,Presa Huites,,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,TASAJERAS G12-B59,HUATABAMPO G12-6,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Paleógeno-Paleoceno,56 - 66,"156",Sinaloa,-106.292977,23.963105,Plutónica,Granodiorita,K-Ar,Biotita,"64.6",0.7,Edad de enfriamiento,,"Henry et al., 2003",,San Ignacio,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,SAN JUAN F13-A16,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Maastrichtiano,66 - 72.1,HS-50,Sinaloa,-106.050244,23.443707,Plutónica,Cuarzodiorita,K-Ar,Hornblenda,"70.6",1.6,Edad de enfriamiento,,"Henry et al., 2003",,El Higueral,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,CONCORDIA F13-A36,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
,,,,,,"-1","0","-1",,,Cretácico Superior-Santoniano,83.6 - 86.3,HS-32,Sinaloa,-106.372181,23.506052,Plutónica,Granodiorita Hyp,K-Ar,Plagioclasa,"85.8",1.9,Edad de enfriamiento,,"Henry et al., 2003",,,Coordenadas estimadas,https://portal.sgm.gob.mx/GeoInfoMex_EdadesIso/PDF/CartaGeocronologicaBCSSinNay.pdf,EL QUELITE F13-A25,MAZATLAN F13-1,http://www.stratigraphy.org/ICSchart/ChronostratChart2017-02SpanishAmer.jpg
